,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,synaptic conductance (nS),reversal potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
0,mouse,VISp,18.116236371769016,104.92640197801585,L23,Pvalb,INH,4138,L23,,EXC,4140,AISynphys,Accessed on 2025-07-07 00:00:007,True,-12.62098880162001,-68.89298220698274,0.0,25.0,100.0,125.0
1,mouse,VISp,119.14984729967514,25.48982191609257,L23,,EXC,4140,L23,Vip,INH,4133,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.712152847850016,100.00491106108227,100.0,125.0,25.0,50.0
2,mouse,VISp,29.64619373656386,70.29699299588941,L5,,EXC,4224,L5,Sst,INH,4222,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.4204284151098571,-242.01246125435864,25.0,50.0,50.0,75.0
3,mouse,VISp,24.370843682039066,264.0951746326988,L5,Sst,INH,4225,L23,,,4221,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.492754813225306,-70.14936944303552,0.0,25.0,250.0,275.0
4,mouse,VISp,12.839963147459288,298.70304509713645,L5,Sst,INH,4225,L23,,EXC,4227,AISynphys,Accessed on 2025-07-07 00:00:007,True,-8.227403469723722,-73.88729522339517,0.0,25.0,275.0,300.0
5,mouse,VISp,40.409914039677865,107.84409470437328,L4,Sst,INH,4226,L23,,EXC,4227,AISynphys,Accessed on 2025-07-07 00:00:007,True,-45.53695638407589,-76.83120024661707,25.0,50.0,100.0,125.0
6,mouse,VISp,37.293764698294616,34.31408805706842,L23,,EXC,4227,L23,,,4221,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.5941806636932433,28.69743788158396,25.0,50.0,25.0,50.0
7,mouse,VISp,40.409914039677865,107.84409470437328,L23,,EXC,4227,L4,Sst,INH,4226,AISynphys,Accessed on 2025-07-07 00:00:007,True,3.470198844091727,-107.07273797361925,25.0,50.0,100.0,125.0
8,mouse,VISp,58.609907710628015,2.1484075222426413,L23,Nr5a1,EXC,4237,L23,Nr5a1,EXC,4238,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.537738559687511,-29.706652696303077,50.0,75.0,0.0,25.0
9,mouse,VISp,0.9812198090731908,40.80400826703529,L23,Nr5a1,EXC,4238,L4,Nr5a1,EXC,4240,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.5713613845480181,61.353735298107836,0.0,25.0,25.0,50.0
10,mouse,VISp,0.9812198090731908,40.80400826703529,L4,Nr5a1,EXC,4240,L23,Nr5a1,EXC,4238,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.7988746124483324,30.130841419377514,0.0,25.0,25.0,50.0
11,mouse,VISp,47.23525874185249,35.62206830281263,L4,Nr5a1,EXC,4240,L4,Nr5a1,EXC,4241,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.5700707877523503,-5.998118341707955,25.0,50.0,25.0,50.0
12,mouse,VISp,47.75986818157269,23.16297495225534,L5,Tlx3,EXC,4247,L5,Sst,INH,4249,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0582928947396097,620.6624069955383,25.0,50.0,0.0,25.0
13,mouse,VISp,75.72248191312974,22.72929058122495,L5,Sst,INH,4249,L5,Tlx3,EXC,4246,AISynphys,Accessed on 2025-07-07 00:00:007,True,-12.092161143244251,-73.80792573350952,75.0,100.0,0.0,25.0
14,mouse,VISp,47.75986818157269,23.16297495225534,L5,Sst,INH,4249,L5,Tlx3,EXC,4247,AISynphys,Accessed on 2025-07-07 00:00:007,True,-9.178244826957679,-70.42646585944497,25.0,50.0,0.0,25.0
15,mouse,VISp,32.17965405119973,103.48145854734118,L4,Sst,INH,4258,L23,Vip,INH,4262,AISynphys,Accessed on 2025-07-07 00:00:007,True,-109.03119065489025,-67.67739762721845,25.0,50.0,100.0,125.0
16,mouse,VISp,72.30060120241669,86.4760848000132,L5,Tlx3,EXC,4530,L5,Sst,INH,4528,AISynphys,Accessed on 2025-07-07 00:00:007,True,3.187293268996275,-113.48501958417225,50.0,75.0,75.0,100.0
17,mouse,VISp,47.0551271827822,18.11445037455304,L5,Tlx3,EXC,4648,L5,Pvalb,INH,4646,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.132786441334308,-14.625941251368708,25.0,50.0,0.0,25.0
18,mouse,VISp,93.5910308999105,73.1492939505363,L4,,EXC,4698,L5,Vip,INH,4700,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.6920498699813896,-118.50782879150901,75.0,100.0,50.0,75.0
19,mouse,VISp,120.35916520396614,20.01152888323354,L5,Tlx3,EXC,4840,L5,Sst,INH,4835,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.46953481440682754,-31.406211567541504,100.0,125.0,0.0,25.0
20,mouse,VISp,58.37036709841021,31.46475560491222,L5,Sst,INH,4848,L5,Tlx3,EXC,4847,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.3949277455853615,-69.5645027630337,50.0,75.0,25.0,50.0
21,mouse,VISp,43.60654922349207,46.080546169388775,L5,Tlx3,EXC,4858,L5,Pvalb,INH,4860,AISynphys,Accessed on 2025-07-07 00:00:007,True,5.4225620115028805,-277.9386491137839,25.0,50.0,25.0,50.0
22,mouse,VISp,84.1601918530113,70.81675636905676,L5,Pvalb,INH,5048,L4,Tlx3,EXC,5052,AISynphys,Accessed on 2025-07-07 00:00:007,True,-8.933981975617362,-72.51505525648466,75.0,100.0,50.0,75.0
23,mouse,VISp,65.38867230980847,28.626443194543956,L4,Tlx3,EXC,5050,L5,Pvalb,INH,5048,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.9370962924639537,27.677107883267816,50.0,75.0,25.0,50.0
24,mouse,VISp,24.058354388862487,3.9853597566476786,L5,Sst,INH,5096,L5,Sim1,EXC,5101,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.0916783416738134,-65.91507945007295,0.0,25.0,0.0,25.0
25,mouse,VISp,52.81544427153541,4.110119222155992,L5,Sim1,EXC,5097,L5,Sst,INH,5096,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.0929859827418769,-22.428510326436385,50.0,75.0,0.0,25.0
26,mouse,VISp,51.804187564586975,29.972345956616298,L5,Sst,INH,5535,L5,Sst,INH,5534,AISynphys,Accessed on 2025-07-07 00:00:007,True,-33.84849427722384,-69.52817304179429,50.0,75.0,25.0,50.0
27,mouse,VISp,67.29796377653787,29.026095906129058,L6a,Sst,INH,5537,L6a,Sim1,EXC,5536,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.6160708592703124,-73.0226551896349,50.0,75.0,25.0,50.0
28,mouse,VISp,50.93426754706449,65.37690643686048,L5,Sim1,EXC,5736,L5,Sst,INH,5740,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.8314345423562362,-73.1183298565676,50.0,75.0,50.0,75.0
29,mouse,VISp,1.2397044240628938,89.44019244165871,L5,Sim1,EXC,5738,L5,Sst,INH,5740,AISynphys,Accessed on 2025-07-07 00:00:007,True,2.3138580503268633,-91.3841399008135,0.0,25.0,75.0,100.0
30,mouse,VISp,26.308654383995044,48.154014328646454,L5,Sim1,EXC,5739,L5,Sst,INH,5742,AISynphys,Accessed on 2025-07-07 00:00:007,True,12.285328141290373,-72.90069359429127,25.0,50.0,25.0,50.0
31,mouse,VISp,23.758525839981797,86.72668023065852,L5,Sst,INH,5742,L5,Sim1,EXC,5738,AISynphys,Accessed on 2025-07-07 00:00:007,True,-5.813764349248569,-72.41350505172565,0.0,25.0,75.0,100.0
32,mouse,VISp,31.226941243115935,70.6798371818936,L5,Tlx3,EXC,5949,L5,Sst,INH,5943,AISynphys,Accessed on 2025-07-07 00:00:007,True,-1.3987180605790472,-37.52660397609092,25.0,50.0,50.0,75.0
33,mouse,VISp,110.69932764615432,46.498656985546006,L4,,INH,6147,L4,,INH,6142,AISynphys,Accessed on 2025-07-07 00:00:007,True,-34.138902404684664,-61.31168960893381,100.0,125.0,25.0,50.0
34,mouse,VISp,96.18481630600834,31.5579407534696,L4,Sim1,EXC,6182,L4,Sim1,EXC,6186,AISynphys,Accessed on 2025-07-07 00:00:007,True,11.765973958728635,-85.26010399284367,75.0,100.0,25.0,50.0
35,mouse,VISp,82.02478946495782,19.22910424511122,L4,Sim1,EXC,6183,L4,Sim1,EXC,6185,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.7888592930722645,154.3213918613483,75.0,100.0,0.0,25.0
36,mouse,VISp,82.02478946495782,19.22910424511122,L4,Sim1,EXC,6185,L4,Sim1,EXC,6183,AISynphys,Accessed on 2025-07-07 00:00:007,True,-12.404982181665348,48.989798590180875,75.0,100.0,0.0,25.0
37,mouse,VISp,13.58078178272135,65.33982538919197,L5,Tlx3,EXC,6299,L4,Sst,INH,6297,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.4251717130729112,-152.13071634425924,0.0,25.0,50.0,75.0
38,mouse,VISp,24.439064591691896,69.70489630214722,L5,Sst,INH,6300,L4,Sst,INH,6297,AISynphys,Accessed on 2025-07-07 00:00:007,True,-18.843988378419983,-73.94244035908764,0.0,25.0,50.0,75.0
39,mouse,VISp,85.8827656360111,35.44758247666349,L5,Sim1,EXC,6403,L5,Sim1,EXC,6399,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.341536610140679,-201.96342929559287,75.0,100.0,25.0,50.0
40,mouse,VISp,66.4591472587716,43.88764882204169,L5,Sim1,EXC,6404,L5,Sim1,EXC,6399,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.8282737612511808,118.58808622392539,50.0,75.0,25.0,50.0
41,mouse,VISp,104.72585460378647,13.959286953372658,L4,,EXC,6455,L5,Sim1,EXC,6458,AISynphys,Accessed on 2025-07-07 00:00:007,True,-4.411556259960482,107.07065248116582,100.0,125.0,0.0,25.0
42,mouse,VISp,87.64367054018098,55.90864429356375,L5,,INH,6514,L5,Tlx3,EXC,6516,AISynphys,Accessed on 2025-07-07 00:00:007,True,-21.19018648308055,-64.57541490167552,75.0,100.0,50.0,75.0
43,mouse,VISp,38.59616206854907,10.595604002523647,L5,Tlx3,EXC,6583,L5,Tlx3,EXC,6584,AISynphys,Accessed on 2025-07-07 00:00:007,True,2.1229580617312647,-190.78289520855265,25.0,50.0,0.0,25.0
44,mouse,VISp,38.59616206854907,10.595604002523647,L5,Tlx3,EXC,6584,L5,Tlx3,EXC,6583,AISynphys,Accessed on 2025-07-07 00:00:007,True,2.1228331119805546,-95.22206942662979,25.0,50.0,0.0,25.0
45,mouse,VISp,3.0152284160330494,22.715952140492902,L5,Tlx3,EXC,6585,L5,Tlx3,EXC,6584,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.14491776220644495,-4623.234403908096,0.0,25.0,0.0,25.0
46,mouse,VISp,25.188314055614043,43.71627321542597,L4,Tlx3,EXC,6660,L5,Pvalb,INH,6667,AISynphys,Accessed on 2025-07-07 00:00:007,True,2.3777134721665525,-254.10513118892885,25.0,50.0,25.0,50.0
47,mouse,VISp,89.72803683387302,9.433839588898035,L5,Sim1,EXC,6950,L5,Sim1,EXC,6949,AISynphys,Accessed on 2025-07-07 00:00:007,True,-6.167855425687017,-10.878535162685539,75.0,100.0,0.0,25.0
48,mouse,VISp,58.83633493943066,7.580901971740904,L5,Sst,INH,8177,L5,Pvalb,INH,8167,AISynphys,Accessed on 2025-07-07 00:00:007,True,-9.031582307647984,-79.0702810150714,50.0,75.0,0.0,25.0
49,mouse,VISp,19.071821874078996,29.81595007547791,L5,Tlx3,EXC,8197,L5,Pvalb,INH,8198,AISynphys,Accessed on 2025-07-07 00:00:007,True,-22.628725788686907,-7.11182580279806,0.0,25.0,25.0,50.0
50,mouse,VISp,29.876773467998017,42.676850688422824,L4,Pvalb,INH,8204,L5,Tlx3,EXC,8197,AISynphys,Accessed on 2025-07-07 00:00:007,True,-19.007297399683456,-79.58114572209813,25.0,50.0,25.0,50.0
51,mouse,VISp,2.0849332917615695,10.439468364763853,L23,,EXC,8548,L23,Vip,INH,8549,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.8377928119924336,-22.393387200384932,0.0,25.0,0.0,25.0
52,mouse,VISp,78.35175105089279,93.69604530447867,L23,,EXC,8548,L4,Sst,INH,8552,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.9495449483723418,-81.90044561037972,75.0,100.0,75.0,100.0
53,mouse,VISp,78.35175105089279,93.69604530447867,L4,Sst,INH,8552,L23,,EXC,8548,AISynphys,Accessed on 2025-07-07 00:00:007,True,-24.10398818639493,-75.35147215774504,75.0,100.0,75.0,100.0
54,mouse,VISp,76.09229915614632,61.76087295190568,L23,,EXC,8576,L23,Vip,INH,8578,AISynphys,Accessed on 2025-07-07 00:00:007,True,3.6982962130872963,-136.9488249144847,75.0,100.0,50.0,75.0
55,mouse,VISp,59.20130907150599,11.232143229142713,L23,Pvalb,INH,8730,L23,Pvalb,INH,8725,AISynphys,Accessed on 2025-07-07 00:00:007,True,-17.323745480935933,-70.01928073826332,50.0,75.0,0.0,25.0
56,mouse,VISp,22.323371031373103,59.9325660181146,L23,,EXC,8734,L4,Pvalb,INH,8735,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.829084632437155,90.20241962294187,0.0,25.0,50.0,75.0
57,mouse,VISp,27.377172474766788,72.65865029696656,L23,,EXC,8737,L4,Sst,INH,8736,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.0291025269094956,-21.901034584650294,25.0,50.0,50.0,75.0
58,mouse,VISp,2.060302831698496,70.95285091813928,L23,,EXC,8786,L23,Sst,INH,8784,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.3077422739225093,-27.175924216402617,0.0,25.0,50.0,75.0
59,mouse,VISp,46.00039550441869,13.232074132465831,L5,Pvalb,INH,8800,L5,,EXC,8794,AISynphys,Accessed on 2025-07-07 00:00:007,True,-21.640050711406577,-58.28958531017611,25.0,50.0,0.0,25.0
60,mouse,VISp,24.761218066877316,44.2480478924723,L5,Pvalb,INH,8800,L5,Pvalb,INH,8798,AISynphys,Accessed on 2025-07-07 00:00:007,True,-46.026045116294426,-69.99635687959479,0.0,25.0,25.0,50.0
61,mouse,VISp,53.59272321146997,37.22093930180687,L5,,INH,8874,L5,Rorb,EXC,8875,AISynphys,Accessed on 2025-07-07 00:00:007,True,-74.72625526975946,-75.58611212761998,50.0,75.0,25.0,50.0
62,mouse,VISp,70.62323508164413,28.161483524538497,L5,,INH,8874,L5,Rorb,EXC,8876,AISynphys,Accessed on 2025-07-07 00:00:007,True,-20.332654432359714,-89.07356488287982,50.0,75.0,25.0,50.0
63,mouse,VISp,53.59272321146997,37.22093930180687,L5,Rorb,EXC,8875,L5,,INH,8874,AISynphys,Accessed on 2025-07-07 00:00:007,True,11.683922950399458,-176.4455515077284,50.0,75.0,25.0,50.0
64,mouse,VISp,74.2554508036295,22.041738984929207,L5,Rorb,EXC,8875,L5,,INH,8878,AISynphys,Accessed on 2025-07-07 00:00:007,True,-2.6087595175648306,67.9909181497413,50.0,75.0,0.0,25.0
65,mouse,VISp,70.62323508164413,28.161483524538497,L5,Rorb,EXC,8876,L5,,INH,8874,AISynphys,Accessed on 2025-07-07 00:00:007,True,37.72904569662094,-99.04317315749982,50.0,75.0,25.0,50.0
66,mouse,VISp,49.875672647831294,24.176746012984736,L5,,INH,8878,L5,Rorb,EXC,8880,AISynphys,Accessed on 2025-07-07 00:00:007,True,-15.961030470195086,-59.965920332371056,25.0,50.0,0.0,25.0
67,mouse,VISp,45.99996773982757,3.3806879262655145,L5,Rorb,EXC,8879,L5,Rorb,EXC,8876,AISynphys,Accessed on 2025-07-07 00:00:007,True,1.1926808385560637,-141.6518766759193,25.0,50.0,0.0,25.0
68,mouse,VISp,49.875672647831294,24.176746012984736,L5,Rorb,EXC,8880,L5,,INH,8878,AISynphys,Accessed on 2025-07-07 00:00:007,True,-4.9598538370634735,-15.876246050670295,25.0,50.0,0.0,25.0
69,mouse,VISp,176.13909259504268,73.80893752063572,L23,Sst,INH,8926,L23,,INH,8923,AISynphys,Accessed on 2025-07-07 00:00:007,True,-8.675076849235385,-68.36534039931479,175.0,200.0,50.0,75.0
70,mouse,VISp,70.29584296091392,145.03163381502156,L5,Tlx3,EXC,8942,L5,Vip,INH,8938,AISynphys,Accessed on 2025-07-07 00:00:007,True,-4.004334914369645,142.75735850510804,50.0,75.0,125.0,150.0
71,mouse,VISp,58.695232508196376,93.26583415087605,L5,Sst,INH,8979,L5,Sst,INH,8975,AISynphys,Accessed on 2025-07-07 00:00:007,True,-22.675734451340595,-73.35495936690162,50.0,75.0,75.0,100.0
72,mouse,VISp,94.80178641959778,47.45627844503838,L5,Pvalb,INH,9070,L4,Pvalb,INH,9077,AISynphys,Accessed on 2025-07-07 00:00:007,True,-3.387928275906921,-91.94659141804645,75.0,100.0,25.0,50.0
73,mouse,VISp,35.60536367587496,37.442301857106955,L5,Pvalb,INH,9071,L5,Tlx3,EXC,9072,AISynphys,Accessed on 2025-07-07 00:00:007,True,-29.19700605330673,-68.00902972731278,25.0,50.0,25.0,50.0
74,mouse,VISp,133.85027494722138,66.35310972217655,L4,,EXC,9120,L4,Pvalb,INH,9123,AISynphys,Accessed on 2025-07-07 00:00:007,True,-4.397462871820078,-14.848661990845407,125.0,150.0,50.0,75.0
75,mouse,VISp,30.168403812285483,16.648284312771846,L4,Pvalb,INH,9122,L4,Pvalb,INH,9123,AISynphys,Accessed on 2025-07-07 00:00:007,True,-78.00430674389526,-70.65708602025141,25.0,50.0,0.0,25.0
76,mouse,VISp,154.9315513454141,35.92519870541349,L4,Nr5a1,EXC,9193,L4,Nr5a1,EXC,9196,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.9897498953397245,14.494750615189814,150.0,175.0,25.0,50.0
77,mouse,VISp,8.180776698769394,45.91310994111458,L4,Nr5a1,EXC,9194,L4,Nr5a1,EXC,9196,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.9261244713556022,-782.036061385808,0.0,25.0,25.0,50.0
78,mouse,VISp,40.54421563320026,24.69885692230632,L4,Nr5a1,EXC,9216,L4,Nr5a1,EXC,9215,AISynphys,Accessed on 2025-07-07 00:00:007,True,-8.343378330866628,-36.57735995199625,25.0,50.0,0.0,25.0
79,mouse,VISp,55.253538237993574,39.210627011979355,L4,Nr5a1,EXC,9217,L4,Nr5a1,EXC,9218,AISynphys,Accessed on 2025-07-07 00:00:007,True,-11.601921211524319,71.19421509688586,50.0,75.0,25.0,50.0
80,mouse,VISp,29.124368132053874,98.8266312494693,L4,Sst,INH,9248,L5,Sst,INH,9246,AISynphys,Accessed on 2025-07-07 00:00:007,True,-26.38751652769226,-70.72066293632989,25.0,50.0,75.0,100.0
