,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,PSC amplitude (nA),PSC rise time (ms),PSC decay tau (ms),voltage clamp (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
0,mouse,VISp,18.116236371769016,104.92640197801585,L23,Pvalb,INH,4138,L23,,EXC,4140,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.001184659171499212,1.9814515094608252,7.456499618971355,-55.0,0.0,25.0,100.0,125.0
1,mouse,VISp,119.14984729967514,25.48982191609257,L23,,EXC,4140,L23,Vip,INH,4133,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.002745233872524154,1.403122413037079,2.8412578585600485,-70.0,100.0,125.0,25.0,50.0
2,mouse,VISp,29.64619373656386,70.29699299588941,L5,,EXC,4224,L5,Sst,INH,4222,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0014394858881640478,1.2315636947163562,2.00862736302057,-70.0,25.0,50.0,50.0,75.0
3,mouse,VISp,24.370843682039066,264.0951746326988,L5,Sst,INH,4225,L23,,,4221,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.00228568184954276,2.7467561620313625,6.291631561042453,-55.0,0.0,25.0,250.0,275.0
4,mouse,VISp,12.839963147459288,298.70304509713645,L5,Sst,INH,4225,L23,,EXC,4227,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.0019142628703717791,4.7433536589899425,18.477359444143705,-55.0,0.0,25.0,275.0,300.0
5,mouse,VISp,40.409914039677865,107.84409470437328,L4,Sst,INH,4226,L23,,EXC,4227,AISynphys,Accessed on 2025-07-07 00:00:007,True,0.008929041671338239,2.5573846996878906,9.312451090284515,-55.0,25.0,50.0,100.0,125.0
6,mouse,VISp,37.293764698294616,34.31408805706842,L23,,EXC,4227,L23,,,4221,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.001789020662686097,0.6554501482713224,2.4916809237736612,-70.0,25.0,50.0,25.0,50.0
7,mouse,VISp,40.409914039677865,107.84409470437328,L23,,EXC,4227,L4,Sst,INH,4226,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015526115130851013,1.7130286678348317,3.966891543701139,-70.0,25.0,50.0,100.0,125.0
8,mouse,VISp,58.609907710628015,2.1484075222426413,L23,Nr5a1,EXC,4237,L23,Nr5a1,EXC,4238,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.0015999236843026493,0.8251227192866089,5.455809529010802,-70.0,50.0,75.0,0.0,25.0
9,mouse,VISp,0.9812198090731908,40.80400826703529,L23,Nr5a1,EXC,4238,L4,Nr5a1,EXC,4240,AISynphys,Accessed on 2025-07-07 00:00:007,True,-0.000777397829615906,1.4769212700477068,4.563751085095067,-70.0,0.0,25.0,25.0,50.0
