,Postsynaptic layer,Postsynaptic region,Postsynaptic gene expression,Postsynaptic synapse class,Presynaptic region,Fraction innervated,sample size,dataset,citation
0,L1,VISp,,INH,LGd,0.5882352941176471,17,Ji et al. 2016,ji_thalamocortical_2016
1,L23,VISp,,EXC,LGd,0.7894736842105263,19,Ji et al. 2016,ji_thalamocortical_2016
2,L4,VISp,,EXC,LGd,1.0,19,Ji et al. 2016,ji_thalamocortical_2016
3,L5,VISp,,EXC,LGd,1.0,8,Ji et al. 2016,ji_thalamocortical_2016
4,L6,VISp,,EXC,LGd,0.7777777777777778,9,Ji et al. 2016,ji_thalamocortical_2016
5,L23,VISp,VIP,INH,LGd,0.0,5,Ji et al. 2016,ji_thalamocortical_2016
6,L4,VISp,VIP,INH,LGd,0.4444444444444444,9,Ji et al. 2016,ji_thalamocortical_2016
7,L5,VISp,VIP,INH,LGd,0.0,9,Ji et al. 2016,ji_thalamocortical_2016
8,L6,VISp,VIP,INH,LGd,0.0,5,Ji et al. 2016,ji_thalamocortical_2016
9,L23,VISp,SST,INH,LGd,0.0,12,Ji et al. 2016,ji_thalamocortical_2016
10,L4,VISp,SST,INH,LGd,0.3333333333333333,15,Ji et al. 2016,ji_thalamocortical_2016
11,L5,VISp,SST,INH,LGd,0.0,7,Ji et al. 2016,ji_thalamocortical_2016
12,L6,VISp,SST,INH,LGd,0.0,5,Ji et al. 2016,ji_thalamocortical_2016
13,L23,VISp,PV,INH,LGd,0.8235294117647058,17,Ji et al. 2016,ji_thalamocortical_2016
14,L4,VISp,PV,INH,LGd,1.0,15,Ji et al. 2016,ji_thalamocortical_2016
15,L5,VISp,PV,INH,LGd,1.0,15,Ji et al. 2016,ji_thalamocortical_2016
16,L6,VISp,PV,INH,LGd,0.8181818181818182,11,Ji et al. 2016,ji_thalamocortical_2016
