,Presynaptic region,Postsynaptic layer,Postsynaptic region,Postsynaptic gene expression,Postsynaptic synapse class,relative excitation,relative to Presynaptic region,relative to Postsynaptic region,relative to Postsynaptic layer,relative to Postsynaptic synapse class
0,LGd,L1,VISp,,,0.3094251444717381,LGd,VISp,L4,EXC
1,LGd,L1,VISp,,,0.3774559214294701,LGd,VISp,L4,EXC
2,LGd,L1,VISp,,,0.5711022362278669,LGd,VISp,L4,EXC
3,LGd,L1,VISp,,,0.5861696978720918,LGd,VISp,L4,EXC
4,LGd,L1,VISp,,,0.651479243751515,LGd,VISp,L4,EXC
5,LGd,L1,VISp,,,0.6641869281608492,LGd,VISp,L4,EXC
6,LGd,L1,VISp,,,0.6994235142678373,LGd,VISp,L4,EXC
7,LGd,L1,VISp,,,0.7319646874281887,LGd,VISp,L4,EXC
8,LGd,L1,VISp,,,0.9859273214404958,LGd,VISp,L4,EXC
9,LGd,L1,VISp,,,1.0714008281563474,LGd,VISp,L4,EXC
10,LGd,L1,VISp,,,0.005328862377258,LGd,VISp,L4,EXC
11,LGd,L1,VISp,,,0.002870976242011,LGd,VISp,L4,EXC
12,LGd,L1,VISp,,,0.0029329397580257,LGd,VISp,L4,EXC
13,LGd,L1,VISp,,,0.0,LGd,VISp,L4,EXC
14,LGd,L23,VISp,PV,,1.223535967437987,LGd,VISp,L4,EXC
15,LGd,L23,VISp,PV,,0.5894360277008835,LGd,VISp,L4,EXC
16,LGd,L23,VISp,PV,,0.0559575012225243,LGd,VISp,L4,EXC
17,LGd,L23,VISp,PV,,0.0313285440139792,LGd,VISp,L4,EXC
18,LGd,L23,VISp,PV,,0.0579354744698427,LGd,VISp,L4,EXC
19,LGd,L23,VISp,PV,,0.729425489140127,LGd,VISp,L4,EXC
20,LGd,L23,VISp,PV,,0.9586789690631916,LGd,VISp,L4,EXC
21,LGd,L23,VISp,PV,,0.781873682988376,LGd,VISp,L4,EXC
22,LGd,L23,VISp,PV,,0.8584403893361852,LGd,VISp,L4,EXC
23,LGd,L23,VISp,PV,,1.0882681195568582,LGd,VISp,L4,EXC
24,LGd,L23,VISp,PV,,1.1260410280217774,LGd,VISp,L4,EXC
25,LGd,L23,VISp,PV,,1.2537798164453715,LGd,VISp,L4,EXC
26,LGd,L23,VISp,PV,,1.355932563831073,LGd,VISp,L4,EXC
27,LGd,L23,VISp,PV,,1.67106836604093,LGd,VISp,L4,EXC
28,LGd,L23,VISp,PV,,1.8985990950711689,LGd,VISp,L4,EXC
29,LGd,L23,VISp,PV,,1.382220466343821,LGd,VISp,L4,EXC
30,LGd,L23,VISp,,EXC,0.0044288077936454,LGd,VISp,L4,EXC
31,LGd,L23,VISp,,EXC,0.011008230071447,LGd,VISp,L4,EXC
32,LGd,L23,VISp,,EXC,0.0175147501633447,LGd,VISp,L4,EXC
33,LGd,L23,VISp,,EXC,0.2122000376189602,LGd,VISp,L4,EXC
34,LGd,L23,VISp,,EXC,0.2749141430425491,LGd,VISp,L4,EXC
35,LGd,L23,VISp,,EXC,0.337482444094331,LGd,VISp,L4,EXC
36,LGd,L23,VISp,,EXC,0.3231571645642693,LGd,VISp,L4,EXC
37,LGd,L23,VISp,,EXC,0.4059011455648773,LGd,VISp,L4,EXC
38,LGd,L23,VISp,,EXC,0.5240573633681687,LGd,VISp,L4,EXC
39,LGd,L23,VISp,,EXC,0.5243489721117834,LGd,VISp,L4,EXC
40,LGd,L23,VISp,,EXC,0.5023142864224142,LGd,VISp,L4,EXC
41,LGd,L23,VISp,,EXC,0.557173181314888,LGd,VISp,L4,EXC
42,LGd,L23,VISp,,EXC,0.5501563459216641,LGd,VISp,L4,EXC
43,LGd,L4,VISp,PV,,2.0044525665970148,LGd,VISp,L4,EXC
44,LGd,L4,VISp,PV,,1.879967863193202,LGd,VISp,L4,EXC
45,LGd,L4,VISp,PV,,2.325458482960204,LGd,VISp,L4,EXC
46,LGd,L4,VISp,PV,,2.325330871782957,LGd,VISp,L4,EXC
47,LGd,L4,VISp,PV,,2.3618914740640364,LGd,VISp,L4,EXC
48,LGd,L4,VISp,PV,,2.527530782129796,LGd,VISp,L4,EXC
49,LGd,L4,VISp,PV,,2.589677425448768,LGd,VISp,L4,EXC
50,LGd,L4,VISp,PV,,3.148678187376396,LGd,VISp,L4,EXC
51,LGd,L4,VISp,PV,,3.2641024971957178,LGd,VISp,L4,EXC
52,LGd,L4,VISp,PV,,2.9344190207797767,LGd,VISp,L4,EXC
53,LGd,L4,VISp,PV,,2.769736796543365,LGd,VISp,L4,EXC
54,LGd,L4,VISp,PV,,2.87214476628356,LGd,VISp,L4,EXC
55,LGd,L4,VISp,PV,,2.0468194774428023,LGd,VISp,L4,EXC
56,LGd,L4,VISp,PV,,2.225156097644573,LGd,VISp,L4,EXC
57,LGd,L4,VISp,PV,,4.128668223039726,LGd,VISp,L4,EXC
58,LGd,L4,VISp,PV,,3.860748556411018,LGd,VISp,L4,EXC
59,LGd,L4,VISp,Sst,,0.0039108231823624,LGd,VISp,L4,EXC
60,LGd,L4,VISp,Sst,,0.0043996760801577,LGd,VISp,L4,EXC
61,LGd,L4,VISp,Sst,,0.0048885289779531,LGd,VISp,L4,EXC
62,LGd,L4,VISp,Vip,,0.0039108231823624,LGd,VISp,L4,EXC
63,LGd,L4,VISp,Vip,,0.0043996760801577,LGd,VISp,L4,EXC
64,LGd,L4,VISp,Vip,,0.0048885289779531,LGd,VISp,L4,EXC
65,LGd,L4,VISp,,EXC,0.6468610955228159,LGd,VISp,L4,EXC
66,LGd,L4,VISp,,EXC,0.4933290920097931,LGd,VISp,L4,EXC
67,LGd,L4,VISp,,EXC,0.882116449433796,LGd,VISp,L4,EXC
68,LGd,L4,VISp,,EXC,0.9313436504652148,LGd,VISp,L4,EXC
69,LGd,L4,VISp,,EXC,1.0979980474408892,LGd,VISp,L4,EXC
70,LGd,L4,VISp,,EXC,1.02077640702248,LGd,VISp,L4,EXC
71,LGd,L4,VISp,,EXC,1.0762914215880863,LGd,VISp,L4,EXC
72,LGd,L4,VISp,,EXC,0.9925268099848276,LGd,VISp,L4,EXC
73,LGd,L4,VISp,,EXC,0.9925268099848276,LGd,VISp,L4,EXC
74,LGd,L4,VISp,,EXC,1.1383494073385425,LGd,VISp,L4,EXC
75,LGd,L4,VISp,,EXC,0.922322004959642,LGd,VISp,L4,EXC
76,LGd,L4,VISp,,EXC,1.1167885858575468,LGd,VISp,L4,EXC
77,LGd,L4,VISp,,EXC,1.2485046102389112,LGd,VISp,L4,EXC
78,LGd,L4,VISp,,EXC,1.2766448539977089,LGd,VISp,L4,EXC
79,LGd,L4,VISp,,EXC,1.276900011648371,LGd,VISp,L4,EXC
80,LGd,L4,VISp,,EXC,1.367171143343528,LGd,VISp,L4,EXC
81,LGd,L4,VISp,,EXC,1.381387069594734,LGd,VISp,L4,EXC
82,LGd,L4,VISp,,EXC,1.08864834209875,LGd,VISp,L4,EXC
83,LGd,L5,VISp,PV,,2.6828973904272244,LGd,VISp,L4,EXC
84,LGd,L5,VISp,PV,,3.6602713969570058,LGd,VISp,L4,EXC
85,LGd,L5,VISp,PV,,1.706480467726792,LGd,VISp,L4,EXC
86,LGd,L5,VISp,PV,,1.643249129401226,LGd,VISp,L4,EXC
87,LGd,L5,VISp,PV,,1.7082032186196177,LGd,VISp,L4,EXC
88,LGd,L5,VISp,PV,,1.5433933832059592,LGd,VISp,L4,EXC
89,LGd,L5,VISp,PV,,1.008957772898252,LGd,VISp,L4,EXC
90,LGd,L5,VISp,PV,,0.8445945766049558,LGd,VISp,L4,EXC
91,LGd,L5,VISp,PV,,0.6284212423496419,LGd,VISp,L4,EXC
92,LGd,L5,VISp,PV,,0.9980470172436898,LGd,VISp,L4,EXC
93,LGd,L5,VISp,PV,,1.150989013173438,LGd,VISp,L4,EXC
94,LGd,L5,VISp,PV,,1.3041862314576789,LGd,VISp,L4,EXC
95,LGd,L5,VISp,PV,,1.11442841089236,LGd,VISp,L4,EXC
