sample size,Presynaptic layer,Postsynaptic layer,Presynaptic mtype,Postsynaptic mtype,connection probability,dataset,notes,column radius (um),region
52,L1,L1,SAC,SAC,0.0576923076923076,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
35,L1,L1,SAC,NGC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
47,L1,L23,SAC,MC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
38,L1,L23,SAC,NGC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
35,L1,L23,SAC,BTC,0.171428571428571,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
20,L1,L23,SAC,BP,0.2,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
28,L1,L23,SAC,DBC,0.0357142857142857,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
72,L1,L23,SAC,LBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
28,L1,L23,SAC,CHC,0.214285714285714,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
73,L1,L23,SAC,PC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
43,L1,L5,SAC,MC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
12,L1,L5,SAC,NGC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
53,L1,L5,SAC,LBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
34,L1,L5,SAC,SBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
21,L1,L5,SAC,NBC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
18,L1,L5,SAC,BP,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
79,L1,L5,SAC,PC,0.0,Jiang2015,"We assume that SBC-like cells correspond to SAC, eNGCs to NGC-DA or NGC-SA, HECs to NBCs, BCs to LBCs SCs to SBCs (small basket), BPCs to BP (bipolar) and DC to BP as well",75,VISp
