sample size,Presynaptic layer,Postsynaptic layer,Presynaptic mtype,Postsynaptic mtype,connection probability,max distance (um),max horizontal distance (um),Slice thickness (um),dataset
52,L1,L1,SBC-like,SBC-like,0.0576923076923076,250,150,300,Jiang2016
35,L1,L1,SBC-like,eNGC,0.0,250,150,300,Jiang2016
47,L1,L23,SBC-like,MC,0.0,250,150,300,Jiang2016
38,L1,L23,SBC-like,NGC,0.0,250,150,300,Jiang2016
35,L1,L23,SBC-like,BTC,0.1714285714285714,250,150,300,Jiang2016
20,L1,L23,SBC-like,BP,0.2,250,150,300,Jiang2016
28,L1,L23,SBC-like,DBC,0.0357142857142857,250,150,300,Jiang2016
72,L1,L23,SBC-like,LBC,0.0,250,150,300,Jiang2016
28,L1,L23,SBC-like,CHC,0.2142857142857142,250,150,300,Jiang2016
73,L1,L23,SBC-like,PC,0.0,250,150,300,Jiang2016
43,L1,L5,SBC-like,MC,0.0,250,150,300,Jiang2016
12,L1,L5,SBC-like,NGC,0.0,250,150,300,Jiang2016
53,L1,L5,SBC-like,LBC,0.0,250,150,300,Jiang2016
34,L1,L5,SBC-like,SC,0.0,250,150,300,Jiang2016
21,L1,L5,SBC-like,HEC,0.0,250,150,300,Jiang2016
18,L1,L5,SBC-like,DC,0.0,250,150,300,Jiang2016
79,L1,L5,SBC-like,PC,0.0,250,150,300,Jiang2016
29,L1,L1,eNGC,SBC-like,0.5517241379310345,250,150,300,Jiang2016
32,L1,L1,eNGC,eNGC,0.65625,250,150,300,Jiang2016
31,L1,L23,eNGC,MC,0.0,250,150,300,Jiang2016
31,L1,L23,eNGC,NGC,0.3548387096774194,250,150,300,Jiang2016
44,L1,L23,eNGC,BTC,0.4545454545454545,250,150,300,Jiang2016
21,L1,L23,eNGC,BP,0.4761904761904761,250,150,300,Jiang2016
13,L1,L23,eNGC,DBC,0.0,250,150,300,Jiang2016
42,L1,L23,eNGC,LBC,0.0952380952380952,250,150,300,Jiang2016
19,L1,L23,eNGC,CHC,0.0,250,150,300,Jiang2016
59,L1,L23,eNGC,PC,0.3559322033898305,250,150,300,Jiang2016
51,L1,L5,eNGC,MC,0.0,250,150,300,Jiang2016
7,L1,L5,eNGC,NGC,0.0,250,150,300,Jiang2016
51,L1,L5,eNGC,LBC,0.0,250,150,300,Jiang2016
26,L1,L5,eNGC,SC,0.0,250,150,300,Jiang2016
19,L1,L5,eNGC,HEC,0.0,250,150,300,Jiang2016
18,L1,L5,eNGC,DC,0.0,250,150,300,Jiang2016
61,L1,L5,eNGC,PC,0.1475409836065573,250,150,300,Jiang2016
47,L23,L1,MC,SBC-like,0.4680851063829787,250,150,300,Jiang2016
29,L23,L1,MC,eNGC,0.4137931034482758,250,150,300,Jiang2016
130,L23,L23,MC,MC,0.0,250,150,300,Jiang2016
24,L23,L23,MC,NGC,0.5,250,150,300,Jiang2016
46,L23,L23,MC,BTC,0.4782608695652174,250,150,300,Jiang2016
16,L23,L23,MC,BP,0.4375,250,150,300,Jiang2016
22,L23,L23,MC,DBC,0.5,250,150,300,Jiang2016
88,L23,L23,MC,LBC,0.4886363636363636,250,150,300,Jiang2016
11,L23,L23,MC,CHC,0.4545454545454545,250,150,300,Jiang2016
101,L23,L23,MC,PC,0.4356435643564356,250,150,300,Jiang2016
133,L23,L5,MC,MC,0.0,250,150,300,Jiang2016
22,L23,L5,MC,NGC,0.0454545454545454,250,150,300,Jiang2016
40,L23,L5,MC,LBC,0.05,250,150,300,Jiang2016
16,L23,L5,MC,SC,0.0,250,150,300,Jiang2016
13,L23,L5,MC,HEC,0.0,250,150,300,Jiang2016
12,L23,L5,MC,DC,0.0,250,150,300,Jiang2016
74,L23,L5,MC,PC,0.081081081081081,250,150,300,Jiang2016
40,L23,L1,NGC,SBC-like,0.475,250,150,300,Jiang2016
30,L23,L1,NGC,eNGC,0.6,250,150,300,Jiang2016
23,L23,L23,NGC,MC,0.5652173913043478,250,150,300,Jiang2016
52,L23,L23,NGC,NGC,0.6346153846153846,250,150,300,Jiang2016
23,L23,L23,NGC,BTC,0.6521739130434783,250,150,300,Jiang2016
27,L23,L23,NGC,BP,0.6296296296296297,250,150,300,Jiang2016
24,L23,L23,NGC,DBC,0.625,250,150,300,Jiang2016
86,L23,L23,NGC,LBC,0.6162790697674418,250,150,300,Jiang2016
15,L23,L23,NGC,CHC,0.6,250,150,300,Jiang2016
68,L23,L23,NGC,PC,0.6029411764705882,250,150,300,Jiang2016
44,L23,L5,NGC,MC,0.25,250,150,300,Jiang2016
13,L23,L5,NGC,NGC,0.3076923076923077,250,150,300,Jiang2016
51,L23,L5,NGC,LBC,0.2941176470588235,250,150,300,Jiang2016
35,L23,L5,NGC,SC,0.2857142857142857,250,150,300,Jiang2016
30,L23,L5,NGC,HEC,0.2666666666666666,250,150,300,Jiang2016
18,L23,L5,NGC,DC,0.2777777777777778,250,150,300,Jiang2016
76,L23,L5,NGC,PC,0.3552631578947368,250,150,300,Jiang2016
35,L23,L1,BTC,SBC-like,0.0,250,150,300,Jiang2016
44,L23,L1,BTC,eNGC,0.0,250,150,300,Jiang2016
46,L23,L23,BTC,MC,0.2608695652173913,250,150,300,Jiang2016
23,L23,L23,BTC,NGC,0.0,250,150,300,Jiang2016
56,L23,L23,BTC,BTC,0.1428571428571428,250,150,300,Jiang2016
55,L23,L23,BTC,BP,0.0909090909090909,250,150,300,Jiang2016
20,L23,L23,BTC,DBC,0.0,250,150,300,Jiang2016
70,L23,L23,BTC,LBC,0.0285714285714285,250,150,300,Jiang2016
15,L23,L23,BTC,CHC,0.0,250,150,300,Jiang2016
60,L23,L23,BTC,PC,0.1833333333333333,250,150,300,Jiang2016
64,L23,L5,BTC,MC,0.0,250,150,300,Jiang2016
9,L23,L5,BTC,NGC,0.0,250,150,300,Jiang2016
