,visual receptive field radius,layer,spiking class,region,column radius (um),dataset
0,8.318264014466546,L2,FS,VISp,200,Niell2008
1,8.462929475587703,L2,FS,VISp,200,Niell2008
2,10.054249547920437,L2,FS,VISp,200,Niell2008
3,11.573236889692586,L2,FS,VISp,200,Niell2008
4,15.406871609403256,L2,FS,VISp,200,Niell2008
0,4.267631103074141,L2,RS,VISp,200,Niell2008
1,4.593128390596744,L2,RS,VISp,200,Niell2008
2,4.846292947558771,L2,RS,VISp,200,Niell2008
3,5.099457504520796,L2,RS,VISp,200,Niell2008
4,5.099457504520796,L2,RS,VISp,200,Niell2008
5,5.388788426763112,L2,RS,VISp,200,Niell2008
6,5.714285714285715,L2,RS,VISp,200,Niell2008
7,6.1482820976491865,L2,RS,VISp,200,Niell2008
8,6.1482820976491865,L2,RS,VISp,200,Niell2008
9,6.47377938517179,L2,RS,VISp,200,Niell2008
5,6.039783001808319,L3,FS,VISp,200,Niell2008
6,6.5461121157323685,L3,FS,VISp,200,Niell2008
7,7.377938517179023,L3,FS,VISp,200,Niell2008
8,7.486437613019891,L3,FS,VISp,200,Niell2008
9,9.584086799276673,L3,FS,VISp,200,Niell2008
10,10.524412296564195,L3,FS,VISp,200,Niell2008
11,14.321880650994574,L3,FS,VISp,200,Niell2008
10,4.448462929475587,L3,RS,VISp,200,Niell2008
11,4.593128390596744,L3,RS,VISp,200,Niell2008
12,5.063291139240507,L3,RS,VISp,200,Niell2008
13,5.280289330922242,L3,RS,VISp,200,Niell2008
14,5.207956600361664,L3,RS,VISp,200,Niell2008
15,5.424954792043399,L3,RS,VISp,200,Niell2008
16,5.533453887884269,L3,RS,VISp,200,Niell2008
17,5.605786618444846,L3,RS,VISp,200,Niell2008
18,5.207956600361664,L3,RS,VISp,200,Niell2008
19,6.075949367088608,L3,RS,VISp,200,Niell2008
20,6.075949367088608,L3,RS,VISp,200,Niell2008
21,6.509945750452079,L3,RS,VISp,200,Niell2008
22,6.799276672694393,L3,RS,VISp,200,Niell2008
23,6.618444846292947,L3,RS,VISp,200,Niell2008
24,6.943942133815551,L3,RS,VISp,200,Niell2008
25,7.414104882459313,L3,RS,VISp,200,Niell2008
26,7.631103074141048,L3,RS,VISp,200,Niell2008
27,7.486437613019891,L3,RS,VISp,200,Niell2008
28,11.283905967450272,L3,RS,VISp,200,Niell2008
12,5.352622061482821,L4,FS,VISp,200,Niell2008
13,5.352622061482821,L4,FS,VISp,200,Niell2008
14,7.269439421338154,L4,FS,VISp,200,Niell2008
15,7.341772151898734,L4,FS,VISp,200,Niell2008
16,7.956600361663652,L4,FS,VISp,200,Niell2008
17,7.956600361663652,L4,FS,VISp,200,Niell2008
18,8.354430379746836,L4,FS,VISp,200,Niell2008
19,8.64376130198915,L4,FS,VISp,200,Niell2008
20,9.330922242314648,L4,FS,VISp,200,Niell2008
21,9.22242314647378,L4,FS,VISp,200,Niell2008
22,10.198915009041592,L4,FS,VISp,200,Niell2008
23,10.596745027124774,L4,FS,VISp,200,Niell2008
29,5.135623869801085,L4,RS,VISp,200,Niell2008
30,5.605786618444846,L4,RS,VISp,200,Niell2008
31,6.0036166365280295,L4,RS,VISp,200,Niell2008
32,6.039783001808319,L4,RS,VISp,200,Niell2008
33,5.858951175406872,L4,RS,VISp,200,Niell2008
34,5.388788426763112,L4,RS,VISp,200,Niell2008
35,5.207956600361664,L4,RS,VISp,200,Niell2008
36,5.207956600361664,L4,RS,VISp,200,Niell2008
37,4.88245931283906,L4,RS,VISp,200,Niell2008
38,6.0036166365280295,L4,RS,VISp,200,Niell2008
39,6.726943942133817,L4,RS,VISp,200,Niell2008
40,7.016274864376131,L4,RS,VISp,200,Niell2008
41,7.233273056057866,L4,RS,VISp,200,Niell2008
42,8.137432188065098,L4,RS,VISp,200,Niell2008
24,4.267631103074141,L5,FS,VISp,200,Niell2008
25,6.1482820976491865,L5,FS,VISp,200,Niell2008
26,7.631103074141048,L5,FS,VISp,200,Niell2008
43,7.016274864376131,L5,RS,VISp,200,Niell2008
44,6.907775768535263,L5,RS,VISp,200,Niell2008
45,7.920433996383364,L5,RS,VISp,200,Niell2008
46,8.716094032549728,L5,RS,VISp,200,Niell2008
47,9.620253164556964,L5,RS,VISp,200,Niell2008
48,9.76491862567812,L5,RS,VISp,200,Niell2008
49,11.139240506329111,L5,RS,VISp,200,Niell2008
50,11.139240506329111,L5,RS,VISp,200,Niell2008
51,11.573236889692586,L5,RS,VISp,200,Niell2008
52,12.839059674502712,L5,RS,VISp,200,Niell2008
53,12.80289330922242,L5,RS,VISp,200,Niell2008
54,13.453887884267628,L5,RS,VISp,200,Niell2008
55,13.743218806509946,L5,RS,VISp,200,Niell2008
56,13.49005424954792,L5,RS,VISp,200,Niell2008
57,13.056057866184451,L5,RS,VISp,200,Niell2008
58,14.828209764918624,L5,RS,VISp,200,Niell2008
59,14.792043399638336,L5,RS,VISp,200,Niell2008
60,16.817359855334537,L5,RS,VISp,200,Niell2008
27,8.245931283905968,L6,FS,VISp,200,Niell2008
28,9.72875226039783,L6,FS,VISp,200,Niell2008
61,4.990958408679928,L6,RS,VISp,200,Niell2008
62,5.135623869801085,L6,RS,VISp,200,Niell2008
63,6.039783001808319,L6,RS,VISp,200,Niell2008
64,6.365280289330922,L6,RS,VISp,200,Niell2008
65,6.58227848101266,L6,RS,VISp,200,Niell2008
66,6.690777576853526,L6,RS,VISp,200,Niell2008
67,6.763110307414106,L6,RS,VISp,200,Niell2008
68,6.907775768535263,L6,RS,VISp,200,Niell2008
69,6.98010849909584,L6,RS,VISp,200,Niell2008
70,7.088607594936709,L6,RS,VISp,200,Niell2008
71,7.920433996383364,L6,RS,VISp,200,Niell2008
72,9.258589511754067,L6,RS,VISp,200,Niell2008
73,9.439421338155515,L6,RS,VISp,200,Niell2008
74,9.330922242314648,L6,RS,VISp,200,Niell2008
