cell_id,depth (um),Schneider-Mizell type,region
262825,374.743205549537,L4c,VISp
298868,377.83368867378334,L4a,VISp
298828,382.2315837316938,L4a,VISp
298945,382.3273051555263,L4a,VISp
299071,381.5982098941446,L4c,VISp
267207,446.21971811508985,L5b,VISp
294715,219.0175010360028,L3b,VISp
302840,477.20188974539775,L5b,VISp
256304,155.3248259931195,L2a,VISp
292861,123.78771847528296,L2b,VISp
294489,198.42511803465035,L3c,VISp
292708,168.50845384744403,L3a,VISp
299070,379.0925752073165,L4a,VISp
294500,189.048005035682,L3b,VISp
262936,375.2549913645288,L4b,VISp
299075,382.72897663998464,L4c,VISp
262895,376.9678321511744,L4a,VISp
291110,110.61669157621353,L2a,VISp
4,298.57677819713194,L4a,VISp
300823,383.6726069511434,L4a,VISp
264934,380.6342909517968,L4c,VISp
300984,385.1390055467344,L4c,VISp
264822,380.4001319590453,L4b,VISp
300966,385.0920986324182,L4a,VISp
258361,223.86542003961517,L3b,VISp
291342,96.10614296226076,L2b,VISp
256516,174.35537808443385,L3a,VISp
292825,178.79315706894127,L3a,VISp
300796,385.1232254417269,L4a,VISp
260303,310.5407387563056,L4b,VISp
256473,142.44327518714326,L2b,VISp
298899,375.54469874513046,L4c,VISp
300817,387.8798108457912,L4a,VISp
264989,382.0158063016751,L4c,VISp
260263,303.9300955419209,L4b,VISp
300975,388.7237602513964,L5b,VISp
291326,112.7914342269805,L2b,VISp
260743,268.7258067133704,L3c,VISp
260639,263.28575634954547,L3c,VISp
256676,123.49405161296018,L2b,VISp
260552,306.07035876799563,L4a,VISp
291111,118.99505927687925,L2a,VISp
256471,125.03140312257968,L2b,VISp
3,179.15396218163602,L3a,VISp
255221,91.43420498500188,L2b,VISp
264751,386.3643378056088,L4c,VISp
298913,344.9774064208736,L4b,VISp
256530,121.16647848657304,L2a,VISp
296734,295.3383487022761,L4a,VISp
264624,382.6986015150781,L4c,VISp
262821,334.3614934063631,L4a,VISp
260450,269.8232791196264,L4a,VISp
291120,108.58902796789964,L2b,VISp
296800,310.80761386986984,L4a,VISp
260556,301.12998448649086,L4a,VISp
291203,115.5200141496113,L2b,VISp
296730,250.45703735668388,L3c,VISp
292838,128.14648129099888,L2a,VISp
291339,113.7659022380624,L2a,VISp
292740,162.55170438930602,L3b,VISp
292739,184.50305958288504,L4a,VISp
260706,262.3232824273812,L4a,VISp
255289,109.53696469204216,L2a,VISp
260699,311.5568826454303,L4b,VISp
258403,230.47823078427487,L3c,VISp
256339,129.63001854233707,L2b,VISp
296598,285.9988942777524,L3c,VISp
256465,176.07963474122622,L3b,VISp
294589,253.5511330313888,L3c,VISp
256675,172.88857473570317,L3b,VISp
292671,135.00171692311497,L2b,VISp
2,244.3233827756468,L4a,VISp
291333,107.86935451202083,L2b,VISp
291345,123.95973949317134,L2a,VISp
256521,161.37053382244554,L2a,VISp
291112,117.77570973868032,L2b,VISp
294570,245.7021232021684,L3b,VISp
258399,199.97877004617115,L3a,VISp
258375,185.6743462959698,L3b,VISp
294651,219.81801178642968,L3c,VISp
260555,269.63669172940564,L4a,VISp
294661,250.52625614114328,L3b,VISp
296687,305.15236376805336,L4a,VISp
296783,299.54910732550536,L3c,VISp
258319,247.7602489315764,L3a,VISp
260615,272.91884898882535,L4a,VISp
260855,298.13415334472256,L4a,VISp
258150,236.7711033147473,L3b,VISp
260598,289.6821161552927,L4b,VISp
262710,349.45821983416346,L4a,VISp
263078,328.223301124834,L4a,VISp
299056,328.9155181437398,L4b,VISp
296668,316.3863330901222,L4b,VISp
296508,315.5690597895213,L4a,VISp
260625,312.03965135951154,L4a,VISp
260628,314.07985810120346,L4a,VISp
292575,185.6260230090369,L3b,VISp
258166,203.816093953884,L3a,VISp
256650,143.9838636683922,L3a,VISp
256647,171.48766673035897,L3a,VISp
256620,154.67281065776257,L3c,VISp
292664,179.12922231939865,L2b,VISp
296750,311.7331809019919,L4a,VISp
256472,132.03423819404264,L2b,VISp
294591,253.04348016374945,L4a,VISp
260651,304.36555258854645,L4b,VISp
256651,119.83929779186992,L2a,VISp
291311,111.85511601292644,L2a,VISp
291179,116.25575681988302,L2a,VISp
256525,179.49170373978512,L3a,VISp
291341,103.36244321249764,L2b,VISp
258398,221.6671226117193,L3b,VISp
291335,114.47765673049896,L2a,VISp
301192,407.3098090694116,L5a,VISp
258230,199.9485970344625,L3c,VISp
296642,278.59482112253727,L3c,VISp
300986,391.8485493347037,L4a,VISp
301112,393.1228403944152,L5a,VISp
294534,226.12282058394257,L3c,VISp
294359,238.2316926552941,L3b,VISp
296648,265.750264202791,L3c,VISp
296509,274.24845714887874,L4a,VISp
292647,128.39520665608276,L2b,VISp
296386,293.5156248726052,L4a,VISp
294822,217.17677174917225,L3b,VISp
255219,105.68620167522823,L2a,VISp
258390,220.22627285790105,L4a,VISp
262823,327.266173882697,L4a,VISp
256615,179.2453771924848,L3a,VISp
256551,180.869346077386,L3a,VISp
256617,137.72876535611857,L2b,VISp
296513,298.8607919664435,L4a,VISp
292744,130.38810173031885,L2b,VISp
298791,353.6037191546544,L4a,VISp
264893,433.23131912452,L5a,VISp
291334,74.74388479720673,L2a,VISp
294499,218.6023326205664,L3c,VISp
292709,167.5943318597792,L3a,VISp
296611,275.33951343375304,L4a,VISp
296546,309.19624594022395,L4a,VISp
262879,313.9056117311629,L4a,VISp
258363,228.73958122078145,L3c,VISp
260623,267.78708968153285,L3c,VISp
256458,119.18505710436072,L2a,VISp
256657,152.11758112944943,L3a,VISp
296928,274.2735434156348,L3c,VISp
300907,388.2020035864412,L4c,VISp
296615,292.92748164168034,L4a,VISp
260648,311.7541633957061,L4a,VISp
256451,171.14345122895088,L3a,VISp
256331,179.5513850749878,L3b,VISp
