,cell ratio,of Schneider-Mizell type,synapse class,region,layer
0,1.0,STC,INH,VISp,L1
1,0.27272727272727276,STC,INH,VISp,L2
2,0.11538461538461539,STC,INH,VISp,L3
3,0.027777777777777776,STC,INH,VISp,L4
4,0.0,STC,INH,VISp,L5
5,0.13513513513513514,STC,INH,VISp,L6
0,0.0,DTC,INH,VISp,L1
1,0.3636363636363637,DTC,INH,VISp,L2
2,0.15384615384615385,DTC,INH,VISp,L3
3,0.25,DTC,INH,VISp,L4
4,0.4772727272727273,DTC,INH,VISp,L5
5,0.4324324324324324,DTC,INH,VISp,L6
0,0.0,PTC,INH,VISp,L1
1,0.18181818181818185,PTC,INH,VISp,L2
2,0.38461538461538464,PTC,INH,VISp,L3
3,0.3888888888888889,PTC,INH,VISp,L4
4,0.4545454545454546,PTC,INH,VISp,L5
5,0.35135135135135137,PTC,INH,VISp,L6
0,0.0,ITC,INH,VISp,L1
1,0.18181818181818185,ITC,INH,VISp,L2
2,0.3461538461538462,ITC,INH,VISp,L3
3,0.3333333333333333,ITC,INH,VISp,L4
4,0.06818181818181819,ITC,INH,VISp,L5
5,0.08108108108108109,ITC,INH,VISp,L6
