,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,synapses per connection,column radius (um),dataset,citation
0,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
1,L6,L5,DTC,L5NP,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
2,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
3,L6,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
4,L6,L6,DTC,L6tall-a,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
5,L6,L6,DTC,L6tall-c,5,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
6,L6,L6,DTC,L6tall-c,3,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
7,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
8,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
9,L6,L5,DTC,L5NP,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
10,L6,L6,DTC,L6tall-c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
11,L6,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
12,L6,L6,DTC,L6tall-a,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
13,L6,L6,DTC,L6short-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
14,L6,L6,DTC,L6short-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
15,L6,L5,DTC,L5ET,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
16,L6,L6,DTC,L6tall-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
17,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
18,L6,L5,DTC,PTC,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
19,L6,L6,DTC,L6tall-b,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
20,L6,L6,DTC,L6tall-c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
21,L6,L6,DTC,L6tall-c,2,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
22,L6,L6,DTC,L6tall-c,1,50,Schneider-Mizell2024,schneider-mizell_cell-type_2024
