firing rate (Hz),region,layer,spiking class,citation,dataset,stimulus orientation (degrees),temporal frequency (Hz)
0.1779789102146071,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0910323871541139,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4118032494138171,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0964938030080471,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2421700626987109,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2486755118223086,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4493199858295073,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0247271263792807,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.094723977326286,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3435667006153473,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0195358610699267,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1843754896982356,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0930239338803695,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0924589586036541,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.094021761326312,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0346922136601641,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.3439334775493696,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.388809833313219,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4451588753204671,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.5081151656182842,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2579722516361269,VISpm,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1277122894827746,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2356651886997478,grey,,FS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0484880883362237,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4176981746368189,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1010139117616292,grey,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.2222222222222221,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.255731622634234,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.1986670447263779,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0866838681298765,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0819625710511419,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.0908341368492918,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.4610520976322781,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
0.7508302040037094,VISp,,RS,siegle_survey_2019,Siegle2019,optimal,optimal
