orientation selectivity index,temporal frequency (Hz),region,spiking class,citation,layer,dataset
0.3189295597188776,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.1683790286772543,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.31829663840989,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.0554705952705509,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2235192091291682,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2022325436212353,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.217391304347826,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0419895636437783,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0520833333333332,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2727272727272727,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1008625924700309,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1622422055206073,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1975013309426253,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.3817107871150618,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.2979094195460566,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.3925842312508633,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.1189964547791234,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.3505329455781977,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.2982456140350877,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1679409383985041,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.2986021388258721,optimal,VISpm,RS,siegle_survey_2019,,Siegle2019
0.183385338724754,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.1071373910888708,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.0615663411827095,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1948317127318112,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2266140986071917,optimal,grey,RS,siegle_survey_2019,,Siegle2019
1.0,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.7220407960448768,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.7044008486334721,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.5423261445466404,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.320190386613691,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.4283900156868343,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.4232173931460354,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.6851596489695082,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.8726255296891821,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.1414213562373095,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.2867441755680876,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.7148648556025549,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.1121336902854865,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.3839170356332643,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.4249182927993987,optimal,VISp,RS,siegle_survey_2019,,Siegle2019
0.112248953324819,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.3731850193291697,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2614020252613896,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.2141416995316164,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1084897768849527,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0819633015497365,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1401813629645873,optimal,VISl,FS,siegle_survey_2019,,Siegle2019
0.1466475864758988,optimal,VISl,RS,siegle_survey_2019,,Siegle2019
0.6527783452741668,optimal,VISl,RS,siegle_survey_2019,,Siegle2019
0.1607349092347205,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1656346649999844,optimal,VISl,RS,siegle_survey_2019,,Siegle2019
0.2111312271117856,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0333005789471191,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.0177880059298349,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.3049657064738889,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.0651528814342364,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.1447605031317965,optimal,VISal,FS,siegle_survey_2019,,Siegle2019
0.4246177330979692,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.2077354240553374,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.0516806634282931,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.6669921080659216,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.0619554165570007,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.2571297386132899,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.3059901395985946,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.0602056670911668,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.0632514870170696,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.3055551928359312,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.5296702380737681,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.7381379062594555,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.0789473684210525,optimal,VISal,RS,siegle_survey_2019,,Siegle2019
0.2781194183507839,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.291656208759693,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.0265580591034616,optimal,grey,FS,siegle_survey_2019,,Siegle2019
0.2134282697854607,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.1247841331076646,optimal,grey,RS,siegle_survey_2019,,Siegle2019
0.3565731307993882,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.0800365752692346,optimal,VISrl,FS,siegle_survey_2019,,Siegle2019
0.231169524618679,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.3610870975487298,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.3956812869576762,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.1567161545293371,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.3310597506103442,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.1873182658405314,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.0350983920082845,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.1242259987499883,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.2936184088686712,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.3427176948763288,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.4532566584944456,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.1853081180052881,optimal,VISrl,RS,siegle_survey_2019,,Siegle2019
0.2773500981126145,optimal,MB,FS,siegle_survey_2019,,Siegle2019
0.1424786296301992,optimal,MB,FS,siegle_survey_2019,,Siegle2019
0.0971356355216692,optimal,SCig,FS,siegle_survey_2019,,Siegle2019
0.316227766016838,optimal,DG,FS,siegle_survey_2019,,Siegle2019
0.032328823814318,optimal,CA1,FS,siegle_survey_2019,,Siegle2019
0.0252351037083664,optimal,CA1,RS,siegle_survey_2019,,Siegle2019
0.0494595398517673,optimal,VISam,FS,siegle_survey_2019,L5,Siegle2019
0.3004403904460446,optimal,VISam,RS,siegle_survey_2019,L5,Siegle2019
0.3000461644997733,optimal,VISam,RS,siegle_survey_2019,L3,Siegle2019
0.2651650429449553,optimal,MB,FS,siegle_survey_2019,,Siegle2019
0.816998412069597,optimal,VIS,RS,siegle_survey_2019,L5,Siegle2019
0.2349874886509603,optimal,VIS,RS,siegle_survey_2019,L4,Siegle2019
0.1792654619833765,optimal,VIS,RS,siegle_survey_2019,L2,Siegle2019
0.052588330234457,optimal,LP,FS,siegle_survey_2019,,Siegle2019
0.1774455417651562,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.0916150563534804,optimal,DG,RS,siegle_survey_2019,,Siegle2019
0.0753907852556452,optimal,DG,FS,siegle_survey_2019,,Siegle2019
