ecephys_unit_id,receptive field area (degrees),region,layer,spiking class,citation,dataset
915956282,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915956340,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915956345,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915956349,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915956356,1100.0,grey,,RS,siegle_survey_2019,Siegle2019
915956304,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915956385,1100.0,grey,,RS,siegle_survey_2019,Siegle2019
915956407,900.0,grey,,RS,siegle_survey_2019,Siegle2019
915956421,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915956438,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915956442,1000.0,grey,,FS,siegle_survey_2019,Siegle2019
915956449,900.0,grey,,RS,siegle_survey_2019,Siegle2019
915958616,1000.0,grey,,RS,siegle_survey_2019,Siegle2019
915956465,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915956471,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915956477,800.0,grey,,FS,siegle_survey_2019,Siegle2019
915956502,1000.0,grey,,RS,siegle_survey_2019,Siegle2019
915956508,1000.0,grey,,FS,siegle_survey_2019,Siegle2019
915956555,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915956565,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915956577,700.0,grey,,RS,siegle_survey_2019,Siegle2019
915956592,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915958628,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915956603,2500.0,grey,,RS,siegle_survey_2019,Siegle2019
915956646,1200.0,grey,,RS,siegle_survey_2019,Siegle2019
915956688,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915956608,1200.0,grey,,FS,siegle_survey_2019,Siegle2019
915956637,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915956642,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915956662,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915956668,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915956691,900.0,grey,,FS,siegle_survey_2019,Siegle2019
915956697,1000.0,grey,,FS,siegle_survey_2019,Siegle2019
915956724,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915956733,100.0,grey,,FS,siegle_survey_2019,Siegle2019
915956757,1600.0,grey,,FS,siegle_survey_2019,Siegle2019
915956761,1100.0,grey,,FS,siegle_survey_2019,Siegle2019
915956770,800.0,grey,,FS,siegle_survey_2019,Siegle2019
915956775,2100.0,grey,,FS,siegle_survey_2019,Siegle2019
915956779,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915956742,2700.0,grey,,FS,siegle_survey_2019,Siegle2019
915956789,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915956803,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915956812,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915956818,2800.0,grey,,FS,siegle_survey_2019,Siegle2019
915956827,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915956874,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915956889,1300.0,grey,,FS,siegle_survey_2019,Siegle2019
915956942,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915956948,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915956973,700.0,grey,,FS,siegle_survey_2019,Siegle2019
915956998,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915957003,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915957008,300.0,grey,,FS,siegle_survey_2019,Siegle2019
915957034,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915957046,1200.0,grey,,FS,siegle_survey_2019,Siegle2019
915957139,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957174,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915957195,2000.0,grey,,FS,siegle_survey_2019,Siegle2019
915957252,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915957408,1200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957420,900.0,grey,,RS,siegle_survey_2019,Siegle2019
915957425,900.0,grey,,RS,siegle_survey_2019,Siegle2019
915957258,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957283,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957293,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957298,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957431,900.0,grey,,RS,siegle_survey_2019,Siegle2019
915957536,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957543,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915957547,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957552,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915957557,2400.0,grey,,RS,siegle_survey_2019,Siegle2019
915957569,1400.0,grey,,RS,siegle_survey_2019,Siegle2019
915957575,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915957581,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915957302,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957478,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957483,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957510,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915958751,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915957325,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957436,700.0,grey,,RS,siegle_survey_2019,Siegle2019
915957442,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915957330,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957355,2800.0,grey,,RS,siegle_survey_2019,Siegle2019
915957402,500.0,grey,,RS,siegle_survey_2019,Siegle2019
915957613,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915957618,600.0,grey,,RS,siegle_survey_2019,Siegle2019
915958772,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915958778,400.0,grey,,RS,siegle_survey_2019,Siegle2019
915958783,1000.0,grey,,RS,siegle_survey_2019,Siegle2019
915958798,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957655,400.0,grey,,FS,siegle_survey_2019,Siegle2019
915957685,800.0,grey,,RS,siegle_survey_2019,Siegle2019
915957699,100.0,grey,,RS,siegle_survey_2019,Siegle2019
915957708,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915957728,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957731,500.0,grey,,FS,siegle_survey_2019,Siegle2019
915957736,300.0,grey,,RS,siegle_survey_2019,Siegle2019
915957739,200.0,grey,,RS,siegle_survey_2019,Siegle2019
915957748,900.0,grey,,FS,siegle_survey_2019,Siegle2019
915957769,200.0,grey,,FS,siegle_survey_2019,Siegle2019
915957794,1200.0,grey,,FS,siegle_survey_2019,Siegle2019
915957872,200.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957896,100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957921,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957926,300.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958808,100.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958814,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957936,700.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957941,800.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957946,500.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957951,1000.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957956,1400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957962,500.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957966,400.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915957982,600.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958006,1900.0,VISpm,,RS,siegle_survey_2019,Siegle2019
915958010,1900.0,VISpm,,FS,siegle_survey_2019,Siegle2019
