,orientation selectivity index,visual stimulus type,notes,stimulus orientation (degrees),spiking class,region,start time (ms),end time (ms),resolution,simulus drift speed (degrees/s),stimulus width (degrees),stimulus height (degrees),dataset,citation
0,0.6582328099705511,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
1,0.1419231066806126,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
2,0.5667695470342424,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
3,0.0690165083886349,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
4,0.3041871635175345,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
5,0.1984470387684144,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
6,0.5889189356837552,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
7,0.2559501857706786,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
8,0.3165973617431445,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
9,0.0810809948080913,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
10,0.688357340432134,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
11,0.1672506876590627,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
12,0.1750667380216482,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
13,0.1915513451074314,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
14,0.0453006970889659,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",FS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
15,0.1237275675438553,drifting grating,"For efficiency, we assume only 8 grating orientations were used, the stimulus was assumed to cover one degree per pixel, only one drift speed and contrast was used, yadda yadda, all in all this should later be revised to more accurately reflect seigle's procedure and the simulations adjusted accordingly.","(0, 45, 90, 135, 180, 225, 270, 315)",RS,VISp,500,2000,"(240, 120)",0.05,240,120,Siegle2019,siegle_survey_2019
