,species,region,Horizontal interesomatic distance (um),Vertical interesomatic distance (um),Presynaptic layer,Presynaptic gene expression,Presynaptic synapse class,Presynaptic gid,Postsynaptic layer,Postsynaptic gene expression,Postsynaptic synapse class,Postsynaptic gid,dataset,notes,connected,Stimulus pulse frequency (Hz),Number of pulses,Interburst interval,Number of bursts,Paired pulse difference,stp induction,stp recovery,Holding potential (mV),minimal Horizontal interesomatic distance (um),maximal Horizontal interesomatic distance (um),minimal Vertical interesomatic distance (um),maximal Vertical interesomatic distance (um)
0,mouse,VISp,18.116236371769016,104.92640197801585,L23,Pvalb,INH,4138,L23,,EXC,4140,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.10429221511359238,0.0034941917172044744,-0.05577564832111965,-55.0,0.0,25.0,100.0,125.0
1,mouse,VISp,119.14984729967514,25.48982191609257,L23,,EXC,4140,L23,Vip,INH,4133,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.013850555628095864,0.5576922184314516,0.047338495377857,-70.0,100.0,125.0,25.0,50.0
2,mouse,VISp,29.64619373656386,70.29699299588941,L5,,EXC,4224,L5,Sst,INH,4222,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.035669188862842025,0.5486863503811803,0.19612841943368056,-70.0,25.0,50.0,50.0,75.0
3,mouse,VISp,24.370843682039066,264.0951746326988,L5,Sst,INH,4225,L23,,,4221,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.32622500679054495,-0.16692077238172448,0.20517070444261515,-55.0,0.0,25.0,250.0,275.0
4,mouse,VISp,12.839963147459288,298.70304509713645,L5,Sst,INH,4225,L23,,EXC,4227,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.19885146333255066,-0.013191404948443989,0.1270260455839993,-55.0,0.0,25.0,275.0,300.0
5,mouse,VISp,40.409914039677865,107.84409470437328,L4,Sst,INH,4226,L23,,EXC,4227,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.365044758105086,-0.5141507776445007,-0.29154053901339605,-55.0,25.0,50.0,100.0,125.0
6,mouse,VISp,37.293764698294616,34.31408805706842,L23,,EXC,4227,L23,,,4221,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.028457045755706484,-0.5278865408019691,-0.20957537481394062,-70.0,25.0,50.0,25.0,50.0
7,mouse,VISp,40.409914039677865,107.84409470437328,L23,,EXC,4227,L4,Sst,INH,4226,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.05928233307079674,0.23429053244411985,0.09325573137508861,-70.0,25.0,50.0,100.0,125.0
8,mouse,VISp,58.609907710628015,2.1484075222426413,L23,Nr5a1,EXC,4237,L23,Nr5a1,EXC,4238,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.01137617282698216,-0.11724484795956383,-0.12219921640400919,-70.0,50.0,75.0,0.0,25.0
9,mouse,VISp,0.9812198090731908,40.80400826703529,L23,Nr5a1,EXC,4238,L4,Nr5a1,EXC,4240,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.27905309678295276,-0.37100697039913816,0.5135771614788788,-70.0,0.0,25.0,25.0,50.0
10,mouse,VISp,0.9812198090731908,40.80400826703529,L4,Nr5a1,EXC,4240,L23,Nr5a1,EXC,4238,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.2788388724826242,-0.5946491349939701,0.04587522801645339,-70.0,0.0,25.0,25.0,50.0
11,mouse,VISp,47.23525874185249,35.62206830281263,L4,Nr5a1,EXC,4240,L4,Nr5a1,EXC,4241,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.3000715079000238,-0.17075545348810925,-0.0548412531061503,-70.0,25.0,50.0,25.0,50.0
12,mouse,VISp,47.75986818157269,23.16297495225534,L5,Tlx3,EXC,4247,L5,Sst,INH,4249,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.044902776095261346,0.15710684435248398,-0.022075997486201506,-70.0,25.0,50.0,0.0,25.0
13,mouse,VISp,75.72248191312974,22.72929058122495,L5,Sst,INH,4249,L5,Tlx3,EXC,4246,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.07508893979773809,-0.13487756983276672,0.09670272904400976,-55.0,75.0,100.0,0.0,25.0
14,mouse,VISp,47.75986818157269,23.16297495225534,L5,Sst,INH,4249,L5,Tlx3,EXC,4247,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.2115179203417562,-0.27095512613078376,0.05157382594803539,-55.0,25.0,50.0,0.0,25.0
15,mouse,VISp,32.17965405119973,103.48145854734118,L4,Sst,INH,4258,L23,Vip,INH,4262,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,,,,-55.0,25.0,50.0,100.0,125.0
16,mouse,VISp,72.30060120241669,86.4760848000132,L5,Tlx3,EXC,4530,L5,Sst,INH,4528,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.017063188802849044,0.1090602500330984,0.31571258345696407,-70.0,50.0,75.0,75.0,100.0
17,mouse,VISp,47.0551271827822,18.11445037455304,L5,Tlx3,EXC,4648,L5,Pvalb,INH,4646,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.24086702299855622,-0.8110843138786927,-0.08060520872724626,-70.0,25.0,50.0,0.0,25.0
18,mouse,VISp,93.5910308999105,73.1492939505363,L4,,EXC,4698,L5,Vip,INH,4700,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.017479893936128546,0.2272559258260933,0.053360135281032665,-70.0,75.0,100.0,50.0,75.0
19,mouse,VISp,120.35916520396614,20.01152888323354,L5,Tlx3,EXC,4840,L5,Sst,INH,4835,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.035692712578656506,0.01684954566078934,0.08313190741899526,-70.0,100.0,125.0,0.0,25.0
20,mouse,VISp,58.37036709841021,31.46475560491222,L5,Sst,INH,4848,L5,Tlx3,EXC,4847,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.45512114981385077,-0.49158840190729003,-0.5780265711476844,-55.0,50.0,75.0,25.0,50.0
21,mouse,VISp,43.60654922349207,46.080546169388775,L5,Tlx3,EXC,4858,L5,Pvalb,INH,4860,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,0.06774294757312063,-0.7307176153303229,-0.2542413354308115,-70.0,25.0,50.0,25.0,50.0
22,mouse,VISp,84.1601918530113,70.81675636905676,L5,Pvalb,INH,5048,L4,Tlx3,EXC,5052,AISynphys,Accessed on 2025-07-08 00:00:007,True,50,8,250,2,-0.18865903383493843,-0.6042547284995148,-0.21314417757936724,-55.0,75.0,100.0,50.0,75.0
