,Presynaptic layer,Postsynaptic layer,Presynaptic Schneider-Mizell type,Postsynaptic Schneider-Mizell type,sample size,column radius (um),connection probability,dataset,citation
0,L1,L1,STC,STC,72,50,0.3333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
1,L1,L2,STC,DTC,27,50,0.1111111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
2,L1,L2,STC,L2a,513,50,0.08187134502923976,Schneider-Mizell2024,schneider-mizell_cell-type_2024
3,L1,L2,STC,L2b,594,50,0.06228956228956229,Schneider-Mizell2024,schneider-mizell_cell-type_2024
4,L1,L2,STC,L2c,648,50,0.07253086419753087,Schneider-Mizell2024,schneider-mizell_cell-type_2024
5,L1,L3,STC,DTC,45,50,0.06666666666666667,Schneider-Mizell2024,schneider-mizell_cell-type_2024
6,L1,L3,STC,ITC,99,50,0.1111111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
7,L1,L3,STC,L3a,666,50,0.08108108108108109,Schneider-Mizell2024,schneider-mizell_cell-type_2024
8,L1,L3,STC,L3b,864,50,0.04861111111111111,Schneider-Mizell2024,schneider-mizell_cell-type_2024
9,L1,L3,STC,PTC,108,50,0.046296296296296294,Schneider-Mizell2024,schneider-mizell_cell-type_2024
10,L1,L3,STC,STC,45,50,0.08888888888888889,Schneider-Mizell2024,schneider-mizell_cell-type_2024
11,L1,L4,STC,ITC,108,50,0.06481481481481481,Schneider-Mizell2024,schneider-mizell_cell-type_2024
12,L1,L4,STC,L4a,576,50,0.03125,Schneider-Mizell2024,schneider-mizell_cell-type_2024
13,L1,L4,STC,L4b,1368,50,0.019736842105263157,Schneider-Mizell2024,schneider-mizell_cell-type_2024
14,L1,L4,STC,L4c,729,50,0.024691358024691357,Schneider-Mizell2024,schneider-mizell_cell-type_2024
15,L1,L4,STC,PTC,126,50,0.015873015873015872,Schneider-Mizell2024,schneider-mizell_cell-type_2024
16,L1,L5,STC,ITC,27,50,0.037037037037037035,Schneider-Mizell2024,schneider-mizell_cell-type_2024
17,L1,L5,STC,L5ET,342,50,0.15497076023391812,Schneider-Mizell2024,schneider-mizell_cell-type_2024
18,L1,L5,STC,L5NP,90,50,0.011111111111111112,Schneider-Mizell2024,schneider-mizell_cell-type_2024
19,L1,L5,STC,L5a,270,50,0.018518518518518517,Schneider-Mizell2024,schneider-mizell_cell-type_2024
20,L1,L5,STC,L5b,396,50,0.015151515151515152,Schneider-Mizell2024,schneider-mizell_cell-type_2024
21,L1,L6,STC,L6short-a,621,50,0.00644122383252818,Schneider-Mizell2024,schneider-mizell_cell-type_2024
22,L1,L6,STC,L6tall-a,729,50,0.02880658436213992,Schneider-Mizell2024,schneider-mizell_cell-type_2024
23,L1,L6,STC,L6tall-b,558,50,0.005376344086021506,Schneider-Mizell2024,schneider-mizell_cell-type_2024
24,L1,L6,STC,L6tall-c,945,50,0.013756613756613757,Schneider-Mizell2024,schneider-mizell_cell-type_2024
25,L2,L1,DTC,STC,27,50,0.37037037037037035,Schneider-Mizell2024,schneider-mizell_cell-type_2024
26,L2,L1,STC,STC,9,50,0.5555555555555556,Schneider-Mizell2024,schneider-mizell_cell-type_2024
27,L2,L2,DTC,DTC,6,50,0.8333333333333334,Schneider-Mizell2024,schneider-mizell_cell-type_2024
28,L2,L2,DTC,L2a,171,50,0.7543859649122807,Schneider-Mizell2024,schneider-mizell_cell-type_2024
29,L2,L2,DTC,L2b,198,50,0.5656565656565656,Schneider-Mizell2024,schneider-mizell_cell-type_2024
30,L2,L2,DTC,L2c,216,50,0.5694444444444444,Schneider-Mizell2024,schneider-mizell_cell-type_2024
31,L2,L2,DTC,STC,3,50,1.0,Schneider-Mizell2024,schneider-mizell_cell-type_2024
32,L2,L2,STC,DTC,3,50,0.3333333333333333,Schneider-Mizell2024,schneider-mizell_cell-type_2024
33,L2,L2,STC,L2a,57,50,0.2982456140350877,Schneider-Mizell2024,schneider-mizell_cell-type_2024
