,firing rate (Hz),temporal frequency (Hz),stimulus orientation (degrees),region,spiking class,layer,citation,dataset
0,0.918399618250272,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
1,3.43297671067178,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
2,0.4360937458551031,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
3,3.282654505949497,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
4,1.7666842858880305,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
5,0.090299557607025,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
6,0.1614768559560917,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
7,4.899547760983521,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
8,0.6283786861712387,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
9,0.5279868250669579,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
10,4.4820451005181,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
11,0.501428131653127,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
12,0.8265065390384171,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
13,0.5396726501690435,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
14,1.235510417611413,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
15,0.4881487849462116,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
16,0.1455416399077932,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
17,0.0642720380614707,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
18,0.1752873765312838,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
19,0.1715691594533475,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
20,0.0515238652228319,optimal,optimal,VISpm,RS,,siegle_survey_2019,Siegle2019
21,0.8281000606432469,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
22,0.2448711532755207,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
23,9.744384613534551,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
24,1.6126438640878111,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
25,0.5481714320614693,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
26,0.0908307314753016,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
27,1.407610750933037,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
28,0.5301115205400644,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
29,0.1072971213918767,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
30,0.4031609660219528,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
31,0.1705068117167942,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
32,1.0984675595960454,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
33,0.6124434701229401,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
34,0.797291976283203,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
35,0.1975966789989017,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
36,0.0754266892952797,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
37,0.5210815647793618,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
38,0.1614768559560917,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
39,0.1200452942305155,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
40,0.074895515427003,optimal,optimal,VISp,RS,,siegle_survey_2019,Siegle2019
41,2.912957493628971,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
42,0.7866684989176708,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
43,1.15583433736992,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
44,1.48250626636004,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
45,0.3017067571811188,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
46,2.8168150234709035,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
47,0.2900209320790332,optimal,optimal,VISl,FS,,siegle_survey_2019,Siegle2019
48,0.8180077571459912,optimal,optimal,VISl,RS,,siegle_survey_2019,Siegle2019
49,0.6719349433699213,optimal,optimal,VISl,RS,,siegle_survey_2019,Siegle2019
50,0.3362330586190989,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
51,0.3266719289901198,optimal,optimal,VISl,RS,,siegle_survey_2019,Siegle2019
52,0.2655869341383088,optimal,optimal,grey,RS,,siegle_survey_2019,Siegle2019
53,15.742399934114117,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
54,32.803704583159075,optimal,optimal,grey,FS,,siegle_survey_2019,Siegle2019
55,1.0017939155697009,optimal,optimal,VISal,RS,,siegle_survey_2019,Siegle2019
56,2.3206986305005426,optimal,optimal,VISal,RS,,siegle_survey_2019,Siegle2019
57,25.195170093964805,optimal,optimal,VISal,FS,,siegle_survey_2019,Siegle2019
58,0.5954459063380884,optimal,optimal,VISal,RS,,siegle_survey_2019,Siegle2019
59,0.0584291255104279,optimal,optimal,VISal,RS,,siegle_survey_2019,Siegle2019
60,0.7107106357541144,optimal,optimal,VISal,RS,,siegle_survey_2019,Siegle2019
61,0.465308308610317,optimal,optimal,VISal,RS,,siegle_survey_2019,Siegle2019
62,4.559065311418209,optimal,optimal,VISal,RS,,siegle_survey_2019,Siegle2019
